timestamp,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint0_vel,joint1_vel,joint2_vel,joint3_vel,joint4_vel,joint5_vel,joint6_vel,joint0_cmd,joint1_cmd,joint2_cmd,joint3_cmd,joint4_cmd,joint5_cmd,joint6_cmd,ee_00,ee_01,ee_02,ee_03,ee_10,ee_11,ee_12,ee_13,ee_20,ee_21,ee_22,ee_23,ee_30,ee_31,ee_32,ee_33
9.339918,0.174482,-0.826348,-0.069300,-2.622529,0.178907,2.586940,-0.971831,-0.063322,0.228743,0.005606,0.476001,-0.125430,-0.983265,-0.001132,0.152120,-0.655691,-0.098810,-2.330850,0.144218,2.015389,-1.024598,-0.216009,0.972051,0.091861,0.000000,0.691069,0.085748,0.717671,0.000000,0.689749,0.218509,-0.690289,0.000000,0.424934,0.051471,0.517101,1.000000
9.380148,0.172609,-0.816086,-0.069430,-2.602384,0.175005,2.545002,-0.972956,-0.037682,0.258675,-0.014948,0.520844,-0.081108,-1.054673,-0.047381,0.147692,-0.621164,-0.114707,-2.290110,0.174264,1.957621,-1.018876,-0.220969,0.970975,0.091438,0.000000,0.711649,0.096422,0.695873,0.000000,0.666871,0.218842,-0.712314,0.000000,0.424895,0.052025,0.516239,1.000000
9.420940,0.171314,-0.804507,-0.070764,-2.580341,0.172749,2.498923,-0.975496,-0.025036,0.294815,-0.046786,0.564714,-0.029608,-1.110202,-0.074703,0.143033,-0.599629,-0.116575,-2.268921,0.186381,1.931053,-1.007246,-0.226660,0.969503,0.093114,0.000000,0.733737,0.107103,0.670925,0.000000,0.640503,0.220397,-0.735650,0.000000,0.424663,0.052443,0.515170,1.000000
9.461919,0.170156,-0.791538,-0.073004,-2.556576,0.172214,2.450308,-0.978521,-0.022896,0.332702,-0.062955,0.599437,0.003080,-1.214218,-0.071389,0.136386,-0.588694,-0.113636,-2.255166,0.186603,1.910362,-0.991965,-0.232000,0.967830,0.097276,0.000000,0.756401,0.116629,0.643612,0.000000,0.611573,0.222902,-0.759140,0.000000,0.424342,0.052639,0.514122,1.000000
9.502920,0.168481,-0.777003,-0.075733,-2.531169,0.172528,2.399677,-0.981251,-0.043527,0.366138,-0.065287,0.643392,0.016149,-1.258221,-0.051868,0.123098,-0.574961,-0.099476,-2.237467,0.178493,1.884951,-0.954113,-0.236148,0.966205,0.103262,0.000000,0.779366,0.124864,0.613986,0.000000,0.580354,0.225475,-0.782528,0.000000,0.423988,0.052476,0.513097,1.000000
9.542932,0.166081,-0.761834,-0.078290,-2.504753,0.173233,2.348895,-0.982845,-0.067996,0.386670,-0.056829,0.678429,0.017975,-1.274106,-0.024369,0.108589,-0.567050,-0.079100,-2.224223,0.159138,1.869176,-0.910509,-0.238593,0.964818,0.110365,0.000000,0.801330,0.131407,0.583595,0.000000,0.548571,0.227685,-0.804506,0.000000,0.423549,0.052047,0.512494,1.000000
9.582965,0.162943,-0.745735,-0.080148,-2.477142,0.173518,2.297195,-0.982828,-0.090190,0.407698,-0.035654,0.719159,0.002293,-1.289489,0.014862,0.103635,-0.562560,-0.072263,-2.216557,0.152014,1.854759,-0.897170,-0.239444,0.963738,0.117710,0.000000,0.822710,0.137024,0.551682,0.000000,0.515558,0.228943,-0.825703,0.000000,0.422982,0.051538,0.512145,1.000000
9.623923,0.158932,-0.728802,-0.080860,-2.448009,0.172914,2.244059,-0.980067,-0.105123,0.405654,-0.010239,0.726107,-0.027528,-1.295548,0.086916,0.098179,-0.548246,-0.067393,-2.196178,0.149833,1.826604,-0.888692,-0.237987,0.963178,0.125027,0.000000,0.843652,0.141218,0.517967,0.000000,0.481247,0.228753,-0.846211,0.000000,0.422216,0.051027,0.512181,1.000000
9.664925,0.154340,-0.711650,-0.080554,-2.418359,0.171445,2.191038,-0.975014,-0.118684,0.396210,0.016318,0.738927,-0.046253,-1.269364,0.142013,0.090121,-0.535134,-0.059709,-2.176902,0.141800,1.800761,-0.873163,-0.234486,0.963135,0.131790,0.000000,0.863446,0.144069,0.483410,0.000000,0.446611,0.227151,-0.865414,0.000000,0.421235,0.050519,0.512556,1.000000
9.704972,0.149411,-0.694740,-0.079483,-2.389293,0.169428,2.140098,-0.968219,-0.133775,0.414923,0.035178,0.710101,-0.056538,-1.244165,0.185106,0.082202,-0.536899,-0.051012,-2.178373,0.133310,1.803445,-0.837236,-0.229141,0.963580,0.137800,0.000000,0.881485,0.145371,0.449258,0.000000,0.412872,0.224417,-0.882708,0.000000,0.420145,0.049986,0.513171,1.000000
9.745950,0.144163,-0.677374,-0.077704,-2.359568,0.166896,2.089819,-0.959416,-0.127442,0.414176,0.048031,0.694353,-0.073150,-1.217956,0.224449,0.072784,-0.542731,-0.039089,-2.183790,0.125787,1.808070,-0.785413,-0.221774,0.964518,0.143185,0.000000,0.898275,0.144963,0.414810,0.000000,0.379343,0.220618,-0.898569,0.000000,0.419039,0.049450,0.514174,1.000000
9.785970,0.139152,-0.661031,-0.075329,-2.331291,0.164195,2.042901,-0.948678,-0.124546,0.402616,0.063571,0.681783,-0.069555,-1.160471,0.285273,0.067410,-0.542779,-0.034609,-2.181560,0.126975,1.806200,-0.753431,-0.212664,0.965857,0.147902,0.000000,0.913086,0.142547,0.382014,0.000000,0.347894,0.216292,-0.912243,0.000000,0.417843,0.049077,0.515440,1.000000
9.826898,0.133826,-0.645334,-0.072304,-2.303284,0.161476,1.998304,-0.934983,-0.138779,0.364619,0.083608,0.653346,-0.072881,-1.040750,0.365391,0.061059,-0.542582,-0.031999,-2.181180,0.129789,1.805134,-0.717709,-0.200516,0.967767,0.152321,0.000000,0.926449,0.136762,0.350670,0.000000,0.318541,0.211437,-0.924027,0.000000,0.416667,0.048714,0.517272,1.000000
9.866908,0.128039,-0.631612,-0.069129,-2.277740,0.159099,1.958716,-0.918378,-0.153018,0.317473,0.076715,0.616618,-0.055574,-0.949758,0.451984,0.058749,-0.548580,-0.035099,-2.189365,0.143512,1.815701,-0.689725,-0.184648,0.970220,0.156712,0.000000,0.938044,0.126417,0.322603,0.000000,0.293190,0.206575,-0.933470,0.000000,0.415538,0.048103,0.519418,1.000000
9.906917,0.121953,-0.619964,-0.066313,-2.254229,0.157552,1.923991,-0.898691,-0.151229,0.258959,0.060932,0.539235,-0.025591,-0.824004,0.520765,0.054276,-0.554418,-0.039087,-2.197894,0.164942,1.825843,-0.653390,-0.164737,0.972968,0.161792,0.000000,0.947991,0.110901,0.298320,0.000000,0.272318,0.202525,-0.940652,0.000000,0.414529,0.047188,0.522112,1.000000
9.947968,0.115937,-0.610500,-0.064067,-2.232895,0.157172,1.894210,-0.875913,-0.141014,0.202177,0.049900,0.479991,0.002914,-0.652252,0.577610,0.050373,-0.560581,-0.036959,-2.205857,0.170082,1.836908,-0.631359,-0.141004,0.975638,0.168015,0.000000,0.956325,0.090345,0.277959,0.000000,0.256013,0.199875,-0.945784,0.000000,0.413646,0.046112,0.525317,1.000000
9.988963,0.110345,-0.603375,-0.062068,-2.214879,0.157643,1.870646,-0.851157,-0.134460,0.148808,0.052844,0.413287,0.018169,-0.488312,0.612699,0.046336,-0.566792,-0.028271,-2.213257,0.164449,1.848748,-0.613145,-0.115078,0.977868,0.174679,0.000000,0.962770,0.066504,0.261976,0.000000,0.244566,0.198327,-0.949133,0.000000,0.412960,0.045122,0.528636,1.000000
10.029915,0.104813,-0.598282,-0.059726,-2.201040,0.158427,1.853275,-0.825394,-0.134962,0.109802,0.066008,0.282539,0.020688,-0.364597,0.624368,0.038905,-0.575870,-0.015055,-2.225893,0.150864,1.867116,-0.590938,-0.087987,0.979537,0.180958,0.000000,0.967522,0.040829,0.249429,0.000000,0.236941,0.197032,-0.951335,0.000000,0.412460,0.044273,0.531456,1.000000
10.070915,0.099161,-0.594807,-0.056494,-2.191272,0.158741,1.841732,-0.799304,-0.146218,0.063855,0.090473,0.191641,0.000669,-0.217391,0.634986,0.026149,-0.587273,0.012449,-2.240110,0.118971,1.895154,-0.551030,-0.060719,0.980688,0.185863,0.000000,0.970682,0.014636,0.239880,0.000000,0.232532,0.194983,-0.952843,0.000000,0.412195,0.043617,0.533581,1.000000
10.111910,0.092936,-0.592984,-0.052068,-2.185677,0.157793,1.835024,-0.772657,-0.158881,0.031466,0.123269,0.087864,-0.045496,-0.113499,0.641068,0.009424,-0.588721,0.041356,-2.240207,0.090289,1.897812,-0.476111,-0.032936,0.981467,0.188731,0.000000,0.972528,-0.012060,0.232432,0.000000,0.230404,0.191205,-0.954125,0.000000,0.412002,0.042983,0.534808,1.000000
10.152907,0.086196,-0.592046,-0.046117,-2.183742,0.154690,1.832835,-0.744783,-0.164894,0.013981,0.159672,0.014662,-0.101666,-0.010422,0.699486,-0.002771,-0.580812,0.070699,-2.226196,0.053392,1.881356,-0.407935,-0.004320,0.982003,0.188765,0.000000,0.973173,-0.039287,0.226653,0.000000,0.229995,0.184683,-0.955507,0.000000,0.412038,0.042394,0.535016,1.000000
10.192960,0.079578,-0.591614,-0.039087,-2.184326,0.149628,1.833700,-0.716660,-0.166285,0.008538,0.184506,-0.043323,-0.138861,0.060657,0.698734,-0.007538,-0.574132,0.082920,-2.214854,0.043728,1.867619,-0.374033,0.023765,0.982205,0.186250,0.000000,0.972766,-0.065680,0.222245,0.000000,0.230528,0.175900,-0.957035,0.000000,0.412228,0.041960,0.534457,1.000000
10.233897,0.073347,-0.591262,-0.031162,-2.187345,0.143445,1.837703,-0.687607,-0.138969,0.007975,0.198346,-0.102444,-0.157146,0.113392,0.701893,-0.009273,-0.567606,0.089678,-2.206200,0.035874,1.855718,-0.357249,0.051890,0.981860,0.182317,0.000000,0.971392,-0.091984,0.218902,0.000000,0.231705,0.165745,-0.958562,0.000000,0.412674,0.041854,0.533042,1.000000
10.274888,0.067985,-0.590481,-0.023057,-2.192470,0.136793,1.843577,-0.659215,-0.126865,0.028284,0.188987,-0.141286,-0.165916,0.153759,0.675308,-0.011209,-0.560732,0.097769,-2.197215,0.024967,1.843298,-0.339453,0.078634,0.980958,0.177534,0.000000,0.969497,-0.116714,0.215488,0.000000,0.232110,0.155177,-0.960232,0.000000,0.413277,0.042086,0.530589,1.000000
10.314897,0.063149,-0.589056,-0.015299,-2.198779,0.129926,1.850371,-0.632918,-0.120581,0.044463,0.191685,-0.173356,-0.176097,0.177139,0.644480,-0.012002,-0.560931,0.100811,-2.197360,0.019439,1.843614,-0.331584,0.103240,0.979649,0.172076,0.000000,0.967308,-0.139171,0.211962,0.000000,0.231601,0.144570,-0.962009,0.000000,0.414024,0.042327,0.527372,1.000000
10.355885,0.058051,-0.587325,-0.007100,-2.206346,0.122506,1.857619,-0.607782,-0.124819,0.043761,0.203770,-0.192438,-0.181955,0.170981,0.586829,-0.012529,-0.562521,0.104681,-2.199303,0.016316,1.846890,-0.323371,0.126657,0.978061,0.165336,0.000000,0.964892,-0.160136,0.208135,0.000000,0.230049,0.133172,-0.964024,0.000000,0.414744,0.042542,0.523418,1.000000
10.395920,0.053023,-0.585562,0.001432,-2.213983,0.114966,1.864134,-0.584311,-0.128269,0.040474,0.214966,-0.196139,-0.186849,0.152194,0.582518,-0.014162,-0.565344,0.109674,-2.202716,0.007937,1.851943,-0.315566,0.147973,0.976325,0.157713,0.000000,0.962425,-0.178863,0.204269,0.000000,0.227647,0.121563,-0.966126,0.000000,0.415282,0.042900,0.519310,1.000000
10.435945,0.047902,-0.584140,0.010346,-2.221192,0.106785,1.869327,-0.561242,-0.125764,0.028492,0.219130,-0.165267,-0.214121,0.105937,0.577574,-0.014555,-0.565627,0.111613,-2.205254,0.004296,1.853989,-0.313099,0.168386,0.974387,0.148984,0.000000,0.959755,-0.196524,0.200571,0.000000,0.224717,0.109217,-0.968284,0.000000,0.415531,0.043263,0.515379,1.000000
10.476889,0.042656,-0.582952,0.019627,-2.227683,0.098030,1.872640,-0.537057,-0.126873,0.025547,0.232164,-0.149849,-0.214424,0.041195,0.586579,-0.014939,-0.565367,0.113335,-2.205004,0.000832,1.853547,-0.310963,0.189411,0.971939,0.139420,0.000000,0.956716,-0.214630,0.196490,0.000000,0.220904,0.096170,-0.970542,0.000000,0.415454,0.043623,0.511663,1.000000
10.516896,0.037588,-0.581618,0.028856,-2.232839,0.089150,1.873455,-0.512251,-0.124285,0.036127,0.230995,-0.108246,-0.224976,0.007030,0.657533,-0.014822,-0.565196,0.113998,-2.204802,-0.001137,1.853248,-0.309718,0.210670,0.968941,0.129434,0.000000,0.953427,-0.232894,0.191621,0.000000,0.215818,0.083038,-0.972896,0.000000,0.415094,0.044005,0.508262,1.000000
10.556900,0.032556,-0.580025,0.038102,-2.236215,0.080161,1.872849,-0.486167,-0.126867,0.042439,0.230552,-0.060415,-0.227050,-0.032579,0.649294,-0.014691,-0.562100,0.114532,-2.202438,-0.003385,1.853698,-0.308384,0.232779,0.965155,0.119459,0.000000,0.949389,-0.252152,0.187245,0.000000,0.210847,0.069828,-0.975022,0.000000,0.414742,0.044390,0.505506,1.000000
10.596931,0.027558,-0.578337,0.047369,-2.237369,0.071017,1.871281,-0.459381,-0.120500,0.044719,0.226961,-0.006252,-0.233522,-0.045521,0.676925,-0.014188,-0.562502,0.116788,-2.203060,-0.005010,1.855213,-0.303272,0.255091,0.960665,0.109694,0.000000,0.944481,-0.271858,0.184471,0.000000,0.207040,0.056548,-0.976697,0.000000,0.414526,0.044787,0.503754,1.000000
10.637897,0.022655,-0.576767,0.056875,-2.236568,0.061674,1.869649,-0.431968,-0.118970,0.041358,0.228131,0.041130,-0.227927,-0.038470,0.653608,-0.013504,-0.562323,0.116422,-2.202891,-0.005445,1.855000,-0.300834,0.277264,0.955528,0.100354,0.000000,0.938610,-0.291694,0.184139,0.000000,0.205226,0.043139,-0.977763,0.000000,0.414541,0.045325,0.503064,1.000000
10.678882,0.017927,-0.575091,0.066097,-2.233904,0.052329,1.868083,-0.405336,-0.118573,0.041743,0.217937,0.079137,-0.228897,-0.033312,0.629150,-0.012342,-0.562245,0.115570,-2.202882,-0.006017,1.854985,-0.300237,0.298382,0.950016,0.091747,0.000000,0.932109,-0.310723,0.186025,0.000000,0.205238,0.030012,-0.978252,0.000000,0.414854,0.045856,0.503323,1.000000
10.719022,0.013540,-0.573505,0.074852,-2.230125,0.043144,1.866479,-0.380769,-0.104123,0.042145,0.213541,0.107549,-0.221707,-0.038227,0.602483,-0.011364,-0.560583,0.116625,-2.200843,-0.005765,1.852450,-0.296632,0.317364,0.944588,0.083748,0.000000,0.925554,-0.327767,0.189470,0.000000,0.206425,0.017382,-0.978308,0.000000,0.415308,0.046389,0.504214,1.000000
10.759887,0.009479,-0.571633,0.083791,-2.225166,0.034226,1.864522,-0.357747,-0.098781,0.043877,0.215087,0.126573,-0.210426,-0.053730,0.538780,-0.010134,-0.563196,0.115906,-2.202706,-0.005989,1.851289,-0.294186,0.334290,0.939386,0.076054,0.000000,0.919183,-0.342795,0.193843,0.000000,0.208168,0.005108,-0.978080,0.000000,0.415884,0.047232,0.505558,1.000000
